non_ideal_rank,functional,molecules,component,component_label,n_points,exponent_m,exponent_std_error,prefactor_A,log10_r_squared,deviation_from_ideal_inverse,time_factor_per_core_doubling,behavior
1,revPBE0,128,extra_time_s,Extra,4,1.0090051829190663,0.8917575887755596,0.002067409342877111,0.3902894876351698,2.0090051829190663,2.01252287702281,increases with core count
2,HSE06,128,extra_time_s,Extra,4,0.017836073889363802,0.07944516275393601,1.5219304479652593,0.024582395484576414,1.0178360738893637,1.0124397624261958,approximately core-count independent
3,revPBE0,196,extra_time_s,Extra,4,-0.12707186861535918,0.9905226735205932,1.26861080456402,0.008161704509705214,0.8729281313846409,0.9156880697971495,approximately core-count independent
4,revPBE0,128,fourier_ev_time_s,Fourier interpolation,4,-0.33607937591744796,0.07958108760157583,315.67225320429867,0.8991662311294722,0.663920624082552,0.7921912240037714,slower than ideal inverse
5,HSE06,196,extra_time_s,Extra,4,-0.362944404668513,0.6880121170137043,54.26321252507839,0.12214626773999615,0.6370555953314869,0.7775759997774268,slower than ideal inverse
6,revPBE0,128,berry_term_time_s,Berry term,4,-0.3922393677207718,0.06284158774618723,21.806492024876242,0.9511707107698003,0.6077606322792282,0.7619459848434299,slower than ideal inverse
7,revPBE,128,fourier_ev_time_s,Fourier interpolation,5,-0.4226216257102861,0.07071769094679356,522.019085136105,0.9225101008354477,0.5773783742897138,0.7460676581612576,slower than ideal inverse
8,revPBE0,128,dipole_term_time_s,Dipole term,4,-0.42323361990492236,0.06801078999909765,22.802782405514535,0.9508915415913202,0.5767663800950776,0.7457512418478,slower than ideal inverse
9,revPBE0,128,polarization_time_s,Polarization (total),4,-0.43233985867335517,0.09806171388966606,790.8819054821482,0.9067077183614464,0.5676601413266449,0.7410589115474615,slower than ideal inverse
10,revPBE0,196,fourier_ev_time_s,Fourier interpolation,4,-0.4746683657679665,0.03996634283489611,1862.298449868083,0.9860194671069015,0.5253316342320336,0.7196321938054815,slower than ideal inverse
11,revPBE0,128,dipole_matrix_time_s,Dipole matrix,4,-0.4759692044610765,0.06152678098721972,134.04735745666846,0.9676611926751781,0.5240307955389235,0.7189836135695608,slower than ideal inverse
12,HSE06,128,fourier_ev_time_s,Fourier interpolation,4,-0.48795498109281826,0.08005815937325027,796.9607171064251,0.9489132586855481,0.5120450189071817,0.7130351084019496,slower than ideal inverse
13,revPBE,128,scf_time_s,SCF (total),5,-0.4982779111803753,0.08424632518048629,600.24700106185,0.9210146654382784,0.5017220888196248,0.7079513309339283,slower than ideal inverse
