molecules,calculation,ncores,time
128,dipole,128,112.623
128,dipole,288,74.869
128,dipole,512,55.725
128,dipole,768,51.083
128,dipole,1024,44.836
128,dipole,1152,42.846
128,scf,128,0.938
128,scf,288,0.947
128,scf,512,0.941
128,scf,768,1.473
128,scf,1024,0.975
128,scf,1152,0.997
196,dipole,288,192.621
196,dipole,512,134.334
196,dipole,768,113.2
196,dipole,1024,98.008
196,dipole,1152,90.174
196,scf,288,1.425
196,scf,512,1.894
196,scf,768,2.006
196,scf,1024,1.443
196,scf,1152,1.469
