molecules,calculation,ncores,time
128,dipole,128,112.623
128,dipole,256,91.669
128,dipole,512,55.725
128,dipole,768,51.083
128,dipole,1024,44.836
128,scf,128,0.938
128,scf,256,1.523
128,scf,512,0.941
128,scf,768,1.473
128,scf,1024,0.975
196,dipole,256,221.91
196,dipole,512,134.334
196,dipole,768,113.2
196,dipole,1024,98.008
196,scf,256,1.474
196,scf,512,1.894
196,scf,768,2.006
196,scf,1024,1.443
