molecules,calculation,ncores,time
128,dipole,128,441.644
128,dipole,256,273.735
128,dipole,512,187.762
128,dipole,1024,155.164
128,dipole,2048,136.165
128,scf,128,312.222
128,scf,256,197.08
128,scf,512,149.953
128,scf,1024,109.422
128,scf,2048,99.234
196,dipole,256,538.197
196,dipole,512,359.221
196,dipole,1024,277.82
196,dipole,2048,250.376
196,scf,256,327.875
196,scf,512,239.791
196,scf,1024,237.727
196,scf,2048,231.465
